1,en,Clarinet 1
1,de,Klarinette 1
2,en,Clarinet 2
2,de,Klarinette 2
3,en,Trumpet 1
3,de,Trompete 1
4,en,Trumpet 2
4,de,Trompete 2
5,en,Flute
5,de,Flöte
6,en,Oboe
6,de,Oboe
7,en,Basson
7,de,Fagott
8,en,Bass larinet
9,de,Bassklarinette
10,en,Alto Saxophone 1
10,de,Altsaxophon 1
11,en,Alto Saxophone 2
11,de,Altsaxophon 2
12,en,Tenor Saxophone
12,de,Tenorsaxophon
13,en,Baritone Saxophone
13,de,Baritonsaxophon
14,en,Horn 1
14,de,Horn 1
15,en,Horn 2
15,de,Horn 2
16,en,Clarinet 3
16,de,Klarinette 3
17,en,Trumpet 3
17,de,Trompete 3
18,en,Trombone 1
18,de,Posaune 1
19,en,Baritone B.C.
19,de,Bariton Bassschlüssel
20,en,Baritone T.C.
20,de,Bariton Violinschlüssel
21,en,Tuba
21,de,Tuba
22,en,Percussion 1
22,de,Perkussion 1
23,en,Percussion 2
23,de,Perkussion 2
24,en,Percussion 3
24,de,Perkussion 3
25,en,Mallet Percussion
25,de,Mallets
26,en,Piccolo
26,de,Piccoloflöte
27,en,Alto Clarinet
27,de,Altklarinette
28,en,Trombone 2
28,de,Posaune 2
29,en,String Bass
29,de,Kontrabass
30,en,Timpani
30,de,Pauke
